"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging multi docs","SUCCESS","2022-10-20T18:36:21.98+08:00[Asia/Shanghai]","0.0","232.05"
"Pre registration","Pre logging","SUCCESS","2022-10-20T18:40:14.782+08:00[Asia/Shanghai]","0.0","122.2"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2022-10-20T18:42:17.737+08:00[Asia/Shanghai]","0.0","120.56"
"Pre registration","Pre logging simple","SUCCESS","2022-10-20T18:44:19.07+08:00[Asia/Shanghai]","0.0","87.47"
"Pre registration","Pre logging with tax rate","SUCCESS","2022-10-20T18:45:47.286+08:00[Asia/Shanghai]","0.0","117.59"
