"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Create voucher entry and manual payment","IGNORED","2022-10-20T17:57:59.036+08:00[Asia/Shanghai]","0.0","0.37"
"Supplier creation","Supplier creation","IGNORED","2022-10-20T19:41:45.249+08:00[Asia/Shanghai]","0.0","0.4"
"Supplier creation","Manage bank account","IGNORED","2022-10-20T19:44:06.066+08:00[Asia/Shanghai]","0.0","0.41"
"Voucher entries","Prepayment","IGNORED","2022-10-20T20:27:02.046+08:00[Asia/Shanghai]","0.0","0.47"
