"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","SUCCESS","2022-10-20T21:29:45.986+08:00[Asia/Shanghai]","0.0","112.84"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2022-10-20T21:31:39.776+08:00[Asia/Shanghai]","0.0","107.36"
"Batch posting","Batch posting voiding process","SUCCESS","2022-10-20T21:33:28.102+08:00[Asia/Shanghai]","0.0","218.12"
"Batch posting","Batch posting general ledger entry","SUCCESS","2022-10-20T21:37:06.936+08:00[Asia/Shanghai]","0.0","191.91"
"General ledger entries","Create general ledger entry","SUCCESS","2022-10-20T21:43:02.934+08:00[Asia/Shanghai]","0.0","176.05"
"Internal transfer","Create internal transfer entry","SUCCESS","2022-10-20T21:49:34.751+08:00[Asia/Shanghai]","0.0","122.58"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2022-10-20T21:51:38.312+08:00[Asia/Shanghai]","0.0","110.04"
"Salary advance","Create salary advance entry","SUCCESS","2022-10-20T21:53:29.297+08:00[Asia/Shanghai]","0.0","137.35"
"Working advance","Create working advance entry","SUCCESS","2022-10-20T21:55:47.642+08:00[Asia/Shanghai]","0.0","141.37"
