"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2022-10-20T19:40:39.215+08:00[Asia/Shanghai]","0.0","65.29"
"Supplier creation","Edit a supplier","SUCCESS","2022-10-20T19:41:45.726+08:00[Asia/Shanghai]","0.0","139.58"
"Supplier creation","Payment terms update","SUCCESS","2022-10-20T19:44:06.551+08:00[Asia/Shanghai]","0.0","153.68"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2022-10-20T19:49:14.101+08:00[Asia/Shanghai]","0.0","114.26"
